,ArticleViolated,Authority,Country,Date,Fine,Org_fined,Type,Country_code
320,Art. 58(2) GDPR,Italian Data Protection Authority (Garante),ITALY,2020-02-01,27802946,TIM - Telecom Provider,Non-cooperation with Data Protection Authority,13
321,"Art. 5 GDPR, Art. 6 GDPR",Spanish Data Protection Authority (AEPD),SPAIN,2020-02-03,60000,Xfera Moviles S.A.,Non-compliance with lawful basis for data processing,23
322,"Art. 5 GDPR, Art. 6 GDPR",Spanish Data Protection Authority (AEPD),SPAIN,2020-02-03,75000,"Vodafone España, S.A.U.",Non-compliance with lawful basis for data processing,23
323,"Art. 5 GDPR, Art. 6 GDPR",Spanish Data Protection Authority (AEPD),SPAIN,2020-02-03,60000,"Vodafone España, S.A.U.",Non-compliance with lawful basis for data processing,23
324,Art. 5 GDPR,Spanish Data Protection Authority (AEPD),SPAIN,2020-02-03,50000,"Vodafone España, S.A.U.",Non-compliance with lawful basis for data processing,23
325,"Art. 5 GDPR, Art. 6 GDPR, Art. 21 GDPR",Spanish Data Protection Authority (AEPD),SPAIN,2020-02-03,20000,Iberia Lineas Aereas,Non-compliance with lawful basis for data processing,23
326,"Art. 5 GDPR, Art. 6 GDPR",Spanish Data Protection Authority (AEPD),SPAIN,2020-02-03,75000,"Vodafone España, S.A.U.",Non-compliance with lawful basis for data processing,23
327,"Art. 5 GDPR, Art. 6 GDPR, Art. 21 GDPR",Spanish Data Protection Authority (AEPD),SPAIN,2020-02-03,6670,Banco Bilbao,Non-compliance with lawful basis for data processing,23
328,"Art. 5 GDPR, Art. 6 GDPR",Spanish Data Protection Authority (AEPD),SPAIN,2020-02-03,5000,Queseria Artesenal Ameco S.L.,Non-compliance with lawful basis for data processing,23
329,"Art. 5 GDPR, Art. 6 GDPR",Spanish Data Protection Authority (AEPD),SPAIN,2020-02-03,800,Private person,Non-compliance with lawful basis for data processing,23
330,"Art. 5 GDPR, Art. 6 GDPR",Spanish Data Protection Authority (AEPD),SPAIN,2020-02-04,1500,Cafetería Nagasaki,Non-compliance with lawful basis for data processing,23
331,"Art. 5 GDPR, Art. 6 GDPR",Spanish Data Protection Authority (AEPD),SPAIN,2020-01-14,3600,"Zhang Bordeta 2006, S.L.",Non-compliance with lawful basis for data processing,23
332,"Art. 5 GDPR, Art. 6 GDPR",Italian Data Protection Authority (Garante),ITALY,2020-01-15,10000,Francavilla Fontana,Non-compliance with lawful basis for data processing,13
333,Art. 37 GDPR,Data Protection Authority of Hamburg,GERMANY,2019-01-01,51000,Facebook,Failure to appoint a data protection officer,09
334,Art. 32 GDPR,Spanish Data Protection Authority (AEPD),SPAIN,2020-02-28,48000,Vodafone ONO,Failure to implement sufficient measures to ensure information security,23
335,Art. 5 GDPR,Spanish Data Protection Authority (AEPD),SPAIN,2020-02-27,120000,Vodafone España,Non-compliance with lawful basis for data processing,23
336,"Art. 5 GDPR, Art. 6 GDPR",Spanish Data Protection Authority (AEPD),SPAIN,2020-02-25,48000,HM Hospitales,Non-compliance with lawful basis for data processing,23
337,Art. 13 GDPR,Spanish Data Protection Authority (AEPD),SPAIN,2020-02-18,1500,Mymoviles Europa 2000,Insufficient fulfilment of information obligations,23
338,Art. 5 (1) f) GDPR,Spanish Data Protection Authority (AEPD),SPAIN,2020-02-14,2500,Grupo Valsor Y Losan,Non-compliance with lawful basis for data processing,23
339,Art. 6 GDPR,Spanish Data Protection Authority (AEPD),SPAIN,2020-02-14,3000,Colegio Arenales Carabanchel,Non-compliance with lawful basis for data processing,23
340,Art. 6 GDPR,Spanish Data Protection Authority (AEPD),SPAIN,2020-02-14,50000,Iberdrola Clientes,Non-compliance with lawful basis for data processing,23
341,Art. 32 GDPR,Spanish Data Protection Authority (AEPD),SPAIN,2020-02-14,42000,Vodafone España,Failure to implement sufficient measures to ensure information security,23
342,Art. 32 GDPR,Spanish Data Protection Authority (AEPD),SPAIN,2020-02-14,30000,Xfera Moviles S.A.,Failure to implement sufficient measures to ensure information security,23
343,"Art. 5 GDPR, Art. 6 GDPR",Spanish Data Protection Authority (AEPD),SPAIN,2020-03-03,24000,Vodafone España,Non-compliance with lawful basis for data processing,23
344,Art. 5 GDPR,Spanish Data Protection Authority (AEPD),SPAIN,2020-03-03,40000,Vodafone España,Non-compliance with lawful basis for data processing,23
345,Art. 32 GDPR,Spanish Data Protection Authority (AEPD),SPAIN,2020-03-03,42000,Vodafone España,Failure to implement sufficient measures to ensure information security,23
346,Art. 13 GDPR,Spanish Data Protection Authority (AEPD),SPAIN,2020-03-03,1800,Solo Embrague,Insufficient fulfilment of information obligations,23
347,"Art. 5 GDPR, Art. 6 GDPR",Dutch Supervisory Authority for Data Protection (AP),NETHERLANDS,2020-03-03,525000,Royal Dutch Tennis Assoc.,Non-compliance with lawful basis for data processing,17
348,Art. 5 GDPR,Polish National Personal Data Protection Office (UODO),POLAND,2020-03-04,4600,School in Gdansk,Non-compliance with lawful basis for data processing,19
349,Art. 5 GDPR,Private person,SPAIN,2020-03-06,4000,Spanish Data Protection Authority (AEPD),Non-compliance with lawful basis for data processing,23
350,"Art. 5 GDPR, Art. 6 GDPR",Italian Data Protection Authority (Garante),ITALY,2020-03-06,4000,Liceo Scientifico Nobel di Torre del Greco,Non-compliance with lawful basis for data processing,13
351,"Art. 5 GDPR, Art. 6 GDPR",Italian Data Protection Authority (Garante),ITALY,2020-03-06,4000,Liceo Artistico Statale di Napoli,Non-compliance with lawful basis for data processing,13
352,Art. 5 (1) f) GDPR,Spanish Data Protection Authority (AEPD),SPAIN,2020-03-09,15000,Gesthotel Activos Balagares,Non-compliance with lawful basis for data processing,23
353,"Art. 5 (1) f) GDPR, Art. 32 GDPR",Icelandic Data Protection Authority ('Persónuvernd'),ICELAND,2020-03-10,9000,Breiðholt School,Failure to implement sufficient measures to ensure information security,12
354,"Art. 5 (1) f) GDPR, Art. 32 GDPR",Icelandic Data Protection Authority ('Persónuvernd'),ICELAND,2020-03-10,20600,Addiction Medicine Center,Failure to implement sufficient measures to ensure information security,12
355,"Art. 5 (1) f) GDPR, Art. 32 GDPR",Danish Data Protection Authority (Datatilsynet),DENMARK,2020-03-10,14000,Gladsaxe Municipality,Failure to implement sufficient measures to ensure information security,07
356,"Art. 5 (1) f) GDPR, Art. 32 GDPR",Danish Data Protection Authority (Datatilsynet),DENMARK,2020-03-10,7000,Hørsholm Municipality,Failure to implement sufficient measures to ensure information security,07
357,"Art. 5 GDPR, Art. 6 GDPR, Art. 17 GDPR",Data Protection Authority of Sweden,SWEDEN,2020-03-11,7000000,Google,Failure to comply with data processing principles,24
358,"Art. 5 (1) f) GDPR, Art. 32 GDPR",Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),ROMANIA,2020-02-11,3000,Vodafone Romania,Failure to comply with data processing principles,21
359,"Art. 6 GDPR, Art. 21 GDPR",Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),ROMANIA,2020-03-25,3000,eMag - Dante International,Non-compliance with lawful basis for data processing,21
360,Art. 32 GDPR,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),ROMANIA,2020-03-25,4150,Vodafone Romania,Failure to implement sufficient measures to ensure information security,21
361,Art. 32 GDPR,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),ROMANIA,2020-03-25,3000,Enel Energie,Failure to implement sufficient measures to ensure information security,21
362,Art. 58 GDPR,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),ROMANIA,2020-03-25,2000,SOS Infertility Association,Non-cooperation with Data Protection Authority,21
363,"Art. 15 (1), (3) GDPR",Croatian Data Protection Authority (AZOP),CROATIA,2020-03-13,0,Bank (unknown),Information obligation non-compliance,04
364,Art. 5 (1) GDPR,Czech Data Protection Auhtority (UOOU),CZECH REPUBLIC,2019-03-21,10000,Unknown,Non-compliance with lawful basis for data processing,06
365,Art. 5 (1) c) GDPR,Data Protection Authority of Saarland,GERMANY,2019-01-01,2000,Restaurant,Failure to comply with data processing principles,09
366,"Art. 33 GDPR, Art. 34 GDPR",Data Protection Authority of Hamburg,GERMANY,2019-01-01,20000,https://datenschutz-hamburg.de/assets/pdf/28._Taetigkeitsbericht_Datenschutz_2019_HmbBfDI.pdf,Failure to implement sufficient measures to ensure information security,09
367,"Art. 5 GDPR, Art. 32 GDPR",Data Protection Authority of Baden-Wuerttemberg,GERMANY,2019-04-04,80000,Company in the financial sector,Failure to implement sufficient measures to ensure information security,09
368,"Art. 5 GDPR, Art. 6 GDPR",Data Protection Authority of Nordrhein-Westfalen,GERMANY,2019-08-05,200,Private person (YouTube-Channel),Failure to comply with data processing principles,09
369,"Art. 5 GDPR, Art. 32 GDPR",Data Protection Authority of Baden-Wuerttemberg,GERMANY,2019-10-24,100000,Food company,Failure to implement sufficient measures to ensure information security,09
370,"Art. 5 GDPR, Art. 6 GDPR, Art. 32 GDPR",Hellenic Data Protection Authority (HDPA),GREECE,2019-12-19,150000,Aegean Marine Petroleum Network Inc.,Failure to comply with data processing principles,10
